,Very confident,Somewhat confident,Not very confident,Not at all confident,(Don't know)
Dem,0.29,0.49,0.11,0.08,0.04
Rep,0.04,0.13,0.26,0.57,0.01
Ind,0.15,0.29,0.22,0.32,0.02
Men,0.17,0.28,0.18,0.35,0.02
Women,0.17,0.35,0.19,0.27,0.02
White,0.11,0.29,0.21,0.37,0.02
Black,0.37,0.46,0.06,0.05,0.05
College Degree,0.20,0.35,0.14,0.30,0.01
No Degree,0.14,0.29,0.22,0.32,0.03
under 35,0.18,0.39,0.23,0.17,0.03
35-54,0.13,0.29,0.20,0.38,0.00
55+,0.19,0.29,0.15,0.34,0.03
65+,0.18,0.26,0.14,0.40,0.02
under $50k,0.18,0.34,0.16,0.29,0.03
$50k+,0.16,0.31,0.20,0.32,0.01
Lib,0.24,0.48,0.16,0.11,0.01
Cons,0.10,0.19,0.22,0.47,0.02
Tea Party,0.06,0.11,0.16,0.67,0.00